game,id,hours,last_played,steam_deck,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,downloadable content,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk,lan co-op,lan pvp,mmo,mods,multi-player,multiplayer any,online co-op,online pvp,partial controller support,profile features limited,ps4 controllers,ps5 controllers,pvp,remote play any,remote play on phone,remote play on tablet,remote play on tv,remote play together,shared/split screen,shared/split screen co-op,shared/split screen pvp,single-player,stats,steam achievements,steam cloud,steam input api,steam leaderboards,steam timeline,steam trading cards,steam turn notifications,steam workshop,steamvr collectibles,tracked controller support,wsgf 4k,wsgf mm,wsgf uw,wsgf ws,vr any,vr only,vr supported,adjustable difficulty,adjustable text size,camera comfort,chat speech-to-text,chat text-to-speech,color alternatives,contrast controls,custom volume controls,keyboard only option,mouse only option,narrated game menus,playable at your own pace,playable without quick time events,playable without vision,save anytime,stereo sound,subtitle options,surround sound,touch only option,afrikaans,albanian,amharic,arabic,armenian,assamese,azerbaijani,bangla,basque,belarusian,bosnian,bulgarian,catalan,cherokee,croatian,czech,danish,dari,dutch,english,estonian,filipino,finnish,french,galician,georgian,german,greek,gujarati,hausa,hebrew,hindi,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,k'iche',kannada,kazakh,khmer,kinyarwanda,konkani,korean,kyrgyz,latvian,lithuanian,luxembourgish,macedonian,malay,malayalam,maltese,maori,marathi,mongolian,nepali,norwegian,odia,persian,polish,portuguese - brazil,portuguese - portugal,punjabi (gurmukhi),punjabi (shahmukhi),quechua,romanian,russian,scots,serbian,simplified chinese,sindhi,sinhala,slovak,slovenian,sorani,sotho,spanish,spanish - latin america,spanish - spain,swahili,swedish,tajik,tamil,tatar,telugu,thai,tigrinya,traditional chinese,tswana,turkish,turkmen,ukrainian,urdu,uyghur,uzbek,valencian,vietnamese,welsh,wolof,xhosa,yoruba,zulu,1980s,1990's,2.5d,2d,2d fighter,2d platformer,360 video,3d,3d fighter,3d platformer,4 player local,4x,6dof,abstract,action,action roguelike,action rpg,action rts,action-adventure,addictive,adventure,agriculture,aliens,alternate history,animals,animation & modeling,anime,arcade,archery,arena shooter,artificial intelligence,assassins,asymmetric vr,asynchronous multiplayer,atmospheric,atv,audio production,auto battler,automation,automobile sim,base building,baseball,based on a novel,basketball,battle royale,beat 'em up,beautiful,benchmark,bikes,birds,bmx,board game,boomer shooter,boss rush,bowling,boxing,building,bullet heaven,bullet hell,bullet time,capitalism,capybaras,card battler,card game,cartoon,cartoony,casual,cats,character action game,character customization,chess,choices matter,choose your own adventure,cinematic,city builder,class-based,classic,cleaning,co-op,co-op campaign,cold war,collectathon,colony sim,colorful,combat,combat racing,comedy,comic book,competitive,conspiracy,controller,cooking,cozy,crafting,creature collector,crime,crpg,cult,cute,cyberpunk,cycling,dark,dark comedy,dark fantasy,dark humor,dating sim,deckbuilding,decorating,demons,design & illustration,destruction,detective,dialogue heavy,dice,difficult,dinosaurs,diplomacy,dogs,dragons,driving,dungeon crawler,dwarves,dynamic narration,dystopian,early access,economy,education,elves,emotional,epic,episodic,escape room,espionage,esports,experimental,exploration,extraction shooter,faith,family friendly,fantasy,farming,farming sim,fast-paced,female protagonist,fighting,first-person,fishing,flight,fmv,football (american),football (soccer),foxes,fps,free to play,funny,futuristic,gambling,game development,gaming,god game,golf,gore,gothic,grand strategy,great soundtrack,grid-based movement,gun customization,hack and slash,hacking,hand-drawn,hardware,heist,hentai,hero shooter,hex grid,hidden object,historical,hobby sim,horror,horses,hunting,idler,immersive,immersive sim,incremental,indie,instrumental music,intentionally awkward controls,interactive fiction,inventory management,investigation,isometric,job simulator,jrpg,jump scare,language learning,lemmings,level editor,lgbtq+,life sim,linear,local co-op,local multiplayer,logic,loot,looter shooter,lore-rich,lovecraftian,magic,management,mars,martial arts,massively multiplayer,match 3,mature,mechs,medical sim,medieval,memes,metroidvania,military,mini golf,minigames,minimalist,mining,mmorpg,moba,mod,moddable,modern,motocross,motorbike,mouse only,multiplayer,multiple endings,music,music-based procedural generation,musou,mystery,mystery dungeon,mythology,narrative,nature,naval,naval combat,ninja,noir,nonlinear,nostalgia,nudity,offroad,old school,on-rails shooter,online co-op,open world,open world survival craft,organizing,otome,outbreak sim,parkour,parody,party,party game,party-based rpg,perma death,philosophical,photo editing,physics,pinball,pirates,pixel graphics,platformer,point & click,poker,political sim,post-apocalyptic,precision platformer,procedural generation,programming,psychedelic,psychological,psychological horror,puzzle,puzzle platformer,pve,pvp,quick-time events,racing,real time tactics,real-time,real-time with pause,realistic,reboot,relaxing,remake,replay value,resource management,retro,rhythm,robots,rock music,roguelike,roguelike deckbuilder,roguelite,romance,rome,rpg,rts,runner,sailing,samurai,sandbox,satire,sci-fi,science,score attack,sequel,sexual content,shoot 'em up,shooter,shop keeper,short,side scroller,silent protagonist,simulation,singleplayer,skateboarding,skating,skiing,sniper,snow,snowboarding,social deduction,software,sokoban,solitaire,souls-like,soundtrack,space,space sim,spaceships,spectacle fighter,split screen,sports,stealth,steampunk,story rich,strategy,strategy rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival horror,swordplay,tabletop,tactical,tactical rpg,tanks,team-based,text-based,third person,third-person shooter,thriller,time attack,time management,time manipulation,time travel,top-down,top-down shooter,touch-friendly,tower defense,trackir,trading,trading card game,traditional roguelike,trains,transhumanism,transportation,trivia,turn-based,turn-based combat,turn-based strategy,turn-based tactics,tutorial,twin stick shooter,typing,underground,underwater,utilities,vampires,vehicular combat,video production,vikings,villain protagonist,violent,visual novel,voice control,voxel,vr,walking simulator,war,wargame,werewolves,western,wholesome,wolves,word game,world war i,world war ii,wrestling,wuxia,xianxia,zombies,zoo
60 Seconds! Reatomized,1012880,,,unknown,,95,94,92,5364,2019-07-25,x,x,,,,,,,x,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
7 Billion Humans,792100,,,unknown,,93,92,89,1861,2018-08-23,x,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Days to Die,251570,,,unknown,,85,85,84,124437,2024-07-25,x,x,x,,,,x,,x,x,,,x,x,x,,,,x,,x,x,,,,x,x,x,,,x,x,,x,,x,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,x,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,
8AM,2835590,,,unknown,,73,66,68,130,2024-03-28,x,,,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
9 Years of Shadows,1402120,,,unknown,,76,74,73,1063,2023-03-27,x,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,x,x,,x,,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911 Operator,503560,,,unknown,68,87,86,84,5505,2017-02-24,x,x,,,,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,x,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9th Dawn III,1154850,,,unknown,,87,84,81,501,2020-10-05,x,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Game of Thrones: The Board Game - Digital Edition,1075190,,,unknown,,71,69,69,1705,2020-10-06,x,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
A Guidebook of Babel,1467920,,,unknown,,92,90,87,877,2023-08-02,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Hat in Time,253230,,,unknown,79,98,98,96,29293,2017-10-05,x,,,,x,,x,,x,,,,x,x,,,,,x,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,x,x,x,,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Juggler's Tale,1252830,,,unknown,74,93,92,88,1263,2021-09-29,x,,,,,,,,x,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
A Plague Tale: Innocence,752590,0.2,,unknown,81,92,92,90,22440,2019-05-14,x,,,,,,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,x,x,,x,x,x,x,,,,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,
A Plague Tale: Requiem,1182900,,,unknown,82,91,90,88,7802,2022-10-17,x,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,,,x,,,,,,,,,,,,x,x,x,,,,,x,,,,,x,,,x,x,x,,,,,x,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,x,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Short Hike,1055540,,,unknown,82,99,99,96,12575,2019-07-30,x,x,x,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,x,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
A Total War Saga: THRONES OF BRITANNIA,712100,,,unknown,,69,68,68,7163,2018-05-02,x,x,x,,,,x,,,,,,x,,,,,,,,x,x,,,,x,x,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,
A Total War Saga: TROY,1099410,,,unknown,,70,68,68,1862,2021-09-02,x,x,,,,,x,,,,,,x,,,,,,,,x,x,,,,x,x,x,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,x,,x,,,x,,,,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,
